Event_id,Rating,People,Review,Name,Price
66,4.3,487,Very Good,"Collection O 50230 Hotel Sunrise Agakhan StreetNear Citizen Cooperative Bank, Agakhan Street, Goa








9 people booked this hotel in last 6 hours",₹2527
67,4.3,487,Very Good,"Collection O 13853 Shruti Resort CalanguteNear Calangute Mall, Goa",₹2665
68,4.3,346,Very Good,"OYO 62138 Delightful StayNear Police Station, Agacaim, Goa",₹1297
69,4.3,335,Very Good,"OYO 11950 Relax Holiday HomeAquem Madgaon Road, Goa








20 people booked this hotel today",₹1804
70,4.3,323,Very Good,"OYO 16160 Spacious StayNear ITI Collage Borda, Margao, Goa",₹1216
71,4.3,235,Very Good,"OYO 14532 Hotel Avisha ResidencyNew Vaddem, Vasco Da Gama, Goa








13 people booked this hotel today",₹1804
72,4.3,200,Very Good,"OYO 12993 Pramila Court SaverBehind Red Rosary School, Miramar, Goa


Hurry. Only 1 room left",₹1887
73,4.3,171,Very Good,"OYO 6807 Picnic PlazaChogum Road, Bardez, Goa


Hurry. Only 1 room left",₹1818
74,4.3,91,Very Good,"OYO 5727 Coco HomesCandolim Beach Road, Goa


Hurry. Only 1 room left",₹1598
75,4.3,86,Very Good,"OYO Home 62977 Radiant 1 BHK BagaArpora, Goa",₹2051
76,4.3,54,Very Good,"OYO 47112 Valley View Resort Saligao, Goa",₹1387
77,4.3,37,Very Good,"SPOT ON 66016 Grand Villas 2 SPOTSirvoi, Goa",₹946
78,4.3,33,Very Good,"OYO Home 65259 Field View Studios ArambolGanpat Parsekar College Of Education, Arambol, Goa",₹1012
79,4.3,28,Very Good,"OYO 63631 Hotel Greenview Near Morjai Temple, Morjim, Goa",₹1005
80,4.3,27,Very Good,"OYO 15436 StudioNear Khuske Waterfall, Goa",₹844
81,4.3,11,Very Good,"SPOT ON 67295 Hotel Vaishnav  SPOTDando, Goa",₹1746
82,4.2,821,Very Good,"Collection O 41384 Coco Heritage Beach ResortNear Baga River Lane, Goa








17 people booked this hotel today",₹2113
83,4.2,781,Very Good,"OYO 16641 Ocean View 2BHKQueeny Nagar Circle, Dabolim, Goa








17 people booked this hotel today",₹1374
84,4.2,761,Very Good,"OYO 9291 Boutique 2BHKChogm Road, Saligao, Goa",₹2346
85,4.2,259,Very Good,"OYO 24176 Sea View StayAnjuna Beach, Goa",₹1527
86,4.2,173,Very Good,"OYO Home 63381 Uttam resort Calangute RoadCalangute - Anjuna Rd, Arpora, Goa








6 people booked this hotel in last 6 hours",₹1704
87,4.2,166,Very Good,"OYO 15911 Green View StudioMai's Place, Mapusa, Goa


Hurry. Only 1 room left",₹1014
88,4.2,151,Very Good,"OYO 15252 Garden Studio Calangute BeachNear Vailankini Chapel, Calangute, Goa",₹1216
89,4.2,150,Very Good,"OYO 48381 Elegant Stay In BambolimVasudha Housing Colony, Panjim, Goa


Hurry. Only 1 room left",₹1963
90,4.2,145,Very Good,"SPOT ON 40159 Atharv Coastal And Guest House SPOTNear La-Calypso Casino, Goa",₹1423
91,4.2,134,Very Good,"OYO 17025 Hotel Go GoaKonkan Raiway Station Road, Goa








8 people booked this hotel today",₹1666
92,4.2,121,Very Good,"OYO 9410 Villa MirNear Baga Beach, Titos Lane, Goa


Hurry. Only 1 room left",₹1618
93,4.2,116,Very Good,"OYO 18328 Green View StudioNear Colva Beach, Goa


Hurry. Only 1 room left",₹1633
94,4.2,115,Very Good,"OYO 7288 Traveller Guest HouseTitos Lane, Baga, Goa


Hurry. Only 1 room left",₹1888
95,4.2,101,Very Good,"OYO Home 64191 Radiant Studios BagaNear Baga Rd, Calangute, Goa",₹2206
96,4.2,70,Very Good,"OYO 16582 Oshin Holiday CareNear Maria Hall, Benaulim, Goa",₹1358
97,4.2,58,Very Good,"SPOT ON 64796 Vailankanni Guest House SPOTUmtav Vado, Goa",₹979
98,4.2,46,Very Good,"OYO 16094 2BHK Star Near Anjuna Mapusa Rd, Anjuna, Goa",₹1447
99,4.2,29,Very Good,"OYO 18332 Elegant 2BHKAnjuna, Goa",₹2881
100,4.2,26,Very Good,"OYO 26581 Classic 3 BHKPanjim-Old Goa Road, Goa",₹781
101,4.2,18,Very Good,"OYO 2686 Hotel Shaurya DeluxeNear Panjim Bridge, Goa",₹1563
102,4.1,207,Very Good,"Collection O 50217 Cornerstone CandolimNerul Road, Candolim, Goa


Hurry. Only 1 room left",₹2923
103,4.1,196,Very Good,"OYO 18439 Dazzling 2BHKNear Calangute, Goa",₹1595
104,4.1,192,Very Good,"OYO 776 Royal Heritage ResortCalangute, Goa


Hurry. Only 1 room left",₹2127
105,4.1,188,Very Good,"OYO 23035 Srinivas ResidencyNear Margao Railway Station, Margao, Goa",₹1456
106,4.1,152,Very Good,"OYO 35718 Goaxa InnNear Calangute Beach, Naika Vaddo, Goa








11 people booked this hotel today",₹1646
107,4.1,125,Very Good,"OYO 19112 Caphina Tourist CottagesNear Benaulim Beach Road, Benaulim, Goa",₹1554
108,4.1,112,Very Good,"OYO 45724 Peaceful 1bhk CandolimAnna Vaddo, Candolim, Goa",₹2073
109,4.1,110,Very Good,"OYO 39512 Home Palolem Hills Studios DesignNear Mataji Mandir (Hostel), Goa",₹2158
110,4.1,103,Very Good,"Capital O 66144 Rooh Grand DeluxeBodhi VIllage, Arambol, Goa








8 people booked this hotel today",₹1341
111,4.1,85,Very Good,"OYO 18662 Beach 2BHKFatrade Beach, Colva, Goa",₹1279
112,4.1,55,Very Good,"OYO 12317 Spacious 2bhk Dona PaulaManipal Hospital, Panjim, Goa",₹2625
113,4.1,42,Very Good,"OYO Home 62592 Elegant StayNear AJ Super Market, Saligao, Goa


Hurry. Only 1 room left",₹1639
114,4.1,34,Very Good,"SPOT ON 65087 Gawd’s In Beach Cottages SPOTArambol, Goa",₹1798
115,4.1,31,Very Good,"OYO Home 46896 Beautiful 3BHK BagaNear Casino Palms, Goa


Hurry. Only 1 room left",₹2547
116,4.0,1121,Very Good,"Collection O 400 Calangute Baga CircleNear  Infantaria Bakery, Baga Road, Goa








19 people booked this hotel today",₹2218
117,4.0,778,Very Good,"Collection O 15006 Orritel VillageNear Vagator Beach, Goa








6 people booked this hotel in last 6 hours",₹1778
118,4.0,217,Very Good,"SPOT ON 49614 William's Inn Guest House SPOTNear Bogmalo Beach, Goa


Hurry. Only 1 room left",₹1014
119,4.0,188,Very Good,"OYO Home 65590 Titos Lane 1 Baga BeachGovernment Primary School, Baga, Goa",₹1903
120,4.0,172,Very Good,"OYO 10297 Spacious Stay Near Goa UniversityDona Paula Circle, Dona Paula, Goa


Hurry. Only 1 room left",₹1826
121,4.0,128,Very Good,"OYO 48829 Beautiful 2bhk CalanguteStalex Church, Calangute, Goa",₹2278
122,4.0,121,Very Good,"SPOT ON 44584 Hotel Vaishali Residency SPOTNear Kundai, Goa",₹550
123,4.0,109,Very Good,"OYO 48063 Hotel Royal PalaceAbove Allahabad Bank, City Market, Vasco, Goa








6 people booked this hotel in last 6 hours",₹1361
124,4.0,78,Very Good,"SPOT ON 64783 Hotel Matashree SPOTNear Galgibag Beach, Goa








9 people booked this hotel today",₹702
125,4.0,70,Very Good,"OYO 61648 Goan Delicacy SaverNear Hawai Beach, Goa


Hurry. Only 1 room left",₹1334
126,4.0,67,Very Good,"OYO Home 19549 Modern Stay Aquem - Baixo, Goa",₹1810
127,4.0,48,Very Good,"OYO 67123 Rangel Goan Guest HouseNear Viegas Service Station, Khorlim - Mapusa


Hurry. Only 1 room left",₹967
128,4.0,47,Very Good,"OYO 65955 La VolgaMorjim Beach Road, Morjim, Goa",₹1592
129,3.9,927,Good,"Collection O 15227 Calangute Resort TioNear Calangute Beach, Goa








12 people booked this hotel in last 6 hours",₹1741
130,3.9,521,Good,"Collection O 30082 Baga Alchemy CreekNear Arpora Saturday Night Market, Goa








8 people booked this hotel today",₹3129
131,3.9,403,Good,"OYO 16887 Elegant Stay Near Calangute beachNear Calangute Beach, Goa",₹1443
132,3.9,180,Good,"SPOT ON 61966 Effie's Apartment SPOTNear Colva, Goa


Hurry. Only 1 room left",₹1282
133,3.9,159,Good,"OYO 48127 Suvian Baga DeluxeNear Saunta Vaddo, Calangute-Baga


Hurry. Only 1 room left",₹1606
134,3.9,131,Good,"OYO 8065 Accovah Map5 InnNear Ashvem Beach Bus Stop, Morjim Beach, Goa








12 people booked this hotel today",₹1216
135,3.9,125,Good,"OYO 13361 Field View StudioNear Chogm Road, Porvorim, Goa


Hurry. Only 1 room left",₹2866
136,3.9,61,Good,"OYO 2764 Hotel Manvins InnNear Pizza Hut,Calangute Road, Goa",₹2168
137,3.9,46,Good,"OYO 3273 Eden Garden DeluxeCalangute, Goa


Hurry. Only 1 room left",₹1379
138,3.9,30,Good,"OYO 68026 T Haus DeluxeNear Mall De Goa, Porvorim, Goa


Hurry. Only 1 room left",₹1674
139,3.8,496,Good,"SPOT ON 38006 Hotel City Central SPOTNear HDFC Bank, Ponda, Goa",₹925
140,3.8,393,Good,"OYO 9810 Elegant StudioRamcons Residency, Salcete, Goa








10 people booked this hotel today",₹1247
141,3.8,116,Good,"OYO 47978 Stay In CaranzalamCaranzalam Village, Panajim, Goa


Hurry. Only 1 room left",₹1963
142,3.8,107,Good,"OYO 23532 Stayinn Nest SaverNear St. Anthony Chapel, Calangute,Goa


Hurry. Only 1 room left",₹1373
143,3.8,102,Good,"OYO 64914 Hotel The Pebbles DeluxeCalangute, Goa


Hurry. Only 1 room left",₹2152
144,3.8,100,Good,"OYO 18505 Hotel RukminiNew Vaddem, Vasco da Gama, Goa








9 people booked this hotel today",₹1601
145,3.8,72,Good,"OYO 9672 Casa KevlizCalangute-Baga Road, Baga, Goa",₹1550
146,3.8,52,Good,"OYO Home 18675 Modern Stay Madgaon StationAquem - Baixo, Goa",₹1408
147,3.8,42,Good,"OYO 18352 Elegant 2BHKNear Porvorim Circle, Porvorim, Goa",₹1327
